A,B,Segment,Drives,affiliation,achieve,power,Cognition,allnone,cogproc,insight,cause,discrep,tentat,certitude,differ,memory,Affect,tone_pos,tone_neg,emotion,emo_pos,emo_neg,emo_anx,emo_anger,emo_sad,swear,Social,socbehav,prosocial,polite,conflict,moral,comm,socrefs,family,friend,female,male,Culture,politic,ethnicity,tech,Lifestyle,leisure,home,work,money,relig,Physical,health,illness,wellness,mental,substances,sexual,food,death,need,want,acquire,lack,fulfill,fatigue,reward,risk,curiosity,allure,Perception,attention,motion,space,visual,auditory,feeling,time,focuspast,focuspresent,focusfuture,Conversation,netspeak,assent,nonflu,filler
like snoop said in we do love these hoes,1,1,11.11,11.11,0,0,0,0,0,0,0,0,0,0,0,0,22.22,11.11,0,11.11,11.11,0,0,0,0,11.11,44.44,22.22,0,0,0,0,11.11,22.22,0,0,11.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.22,11.11,0,0,11.11,0,0,0,0,11.11,0,0,0,0,0,0,0
momma said no pussy cats inside my doghouse,2,1,12.5,12.5,0,0,12.5,12.5,0,0,0,0,0,0,0,0,12.5,0,0,0,0,0,0,0,0,12.5,25,12.5,0,0,0,0,12.5,12.5,12.5,0,12.5,0,0,0,0,0,12.5,0,12.5,0,0,0,12.5,0,0,0,0,0,12.5,0,0,0,0,0,0,0,0,0,0,0,12.5,12.5,0,0,12.5,0,0,0,0,12.5,0,0,0,0,0,0,0
pimps up pimps up hoes down future voice,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.5,0,0,0,0,0,0,0,0,12.5,12.5,0,0,0,0,0,0,12.5,0,0,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.5,0,0,37.5,0,0,0,12.5,0,0,12.5,0,0,0,0,0
post a picture of that pussy get likes,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,12.5,0,0,0,0,0,0,0,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.5,0,0,0,0,0,12.5,0,0,0,0,12.5,0,0,0,0,0,0,12.5,12.5,0,0,0,12.5,0,0,0,0,0,0,0,0,0,0,0
quick piece of pussy call it a drive by,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.11,0,0,0,0,0,0,0,0,11.11,11.11,11.11,0,0,0,0,11.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.11,0,0,0,0,0,11.11,0,0,0,0,0,0,0,0,0,0,0,22.22,11.11,0,11.11,0,0,0,0,11.11,0,0,0,0,0,0,0,0
running round here like some brand new pussy thats bout to get fucked,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.08,7.69,7.69,0,0,0,0,0,0,15.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.69,0,0,0,0,0,7.69,0,0,0,0,7.69,0,0,0,0,0,0,23.08,23.08,0,7.69,15.38,0,0,0,7.69,7.69,7.69,0,0,0,0,0,0
these bitches even worst theyll send them guys for you,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,10,0,0,0,0,0,0,10,40,0,0,0,0,0,0,40,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0
these hoes like niggas that spend money not talk bout it,1,1,0,0,0,0,9.09,0,9.09,0,0,0,0,0,9.09,0,18.18,0,0,0,0,0,0,0,0,18.18,18.18,9.09,0,0,0,0,9.09,9.09,0,0,9.09,0,0,0,0,0,9.09,0,0,0,9.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
we do trust these niggas all these bitches,1,1,25,25,0,0,12.5,12.5,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,25,25,12.5,0,0,0,0,0,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
yall niggas b cuffing hoes cause yall ai never have bitches,1,1,0,0,0,0,18.18,9.09,9.09,0,9.09,0,0,0,0,0,27.27,0,0,0,0,0,0,0,0,27.27,27.27,0,0,0,0,0,0,27.27,0,0,9.09,0,9.09,0,0,9.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.09,0,0,0,0,0,0,0,9.09,0,0,0,0,0,0,0,0
all da bitches i cut off pregna or bound to be thank god,1,1,0,0,0,0,15.38,7.69,7.69,0,0,0,7.69,0,7.69,0,15.38,7.69,0,0,0,0,0,0,0,7.69,7.69,7.69,7.69,7.69,0,0,7.69,0,0,0,0,0,0,0,0,0,7.69,0,0,0,0,7.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
young pill chamberlain these bitches love my music,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,12.5,0,12.5,12.5,0,0,0,0,12.5,12.5,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.5,12.5,0,0,0,0,12.5,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.5,12.5,0,0,0,0,12.5,0,12.5,0,0,0,0,0,0,0,0
teanna trump probably cleaner than most of these twitter hoes but,1,1,0,0,0,0,27.27,0,27.27,0,0,0,9.09,0,18.18,0,18.18,9.09,0,0,0,0,0,0,0,9.09,9.09,0,0,0,0,0,0,9.09,0,0,9.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gay niggas could wait to act like bitches tonight,1,1,0,0,0,0,11.11,0,11.11,0,0,11.11,0,0,0,0,22.22,0,0,0,0,0,0,0,0,22.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.11,0,0,0,0,0,11.11,0,0,0,0,0,0,0,0,0,0,0,11.11,0,0,0,0,0,0,0,22.22,0,0,0,0,0,0,0,0
and ima steal his cat n replace it with a pitbull he a bitch you should do it,1,1,0,0,0,0,5.56,0,5.56,0,0,5.56,0,0,0,0,5.56,0,0,0,0,0,0,0,0,5.56,16.67,0,0,0,0,0,0,16.67,0,0,0,11.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.56,5.56,5.56,0,0,0
amp hes gone always be a hoe,1,1,0,0,0,0,14.29,14.29,0,0,0,0,0,0,0,0,14.29,0,0,0,0,0,0,0,0,14.29,28.57,0,0,0,0,0,0,28.57,0,0,14.29,14.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.29,0,14.29,0,0,0,0,14.29,14.29,14.29,0,0,0,0,0,0
son of a bitch took my tic tacs i like this movie,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.33,0,0,0,0,0,0,0,0,8.33,8.33,0,0,0,0,0,0,8.33,8.33,0,0,8.33,0,0,0,0,8.33,8.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.33,0,0,0,0,0,0,8.33,0,0,0,0,0,0,0,0,8.33,0,0,0,0,0,0,0
all i wanna do is get money and fuck model bitches russell simmons,1,1,0,0,0,0,15.38,7.69,7.69,0,0,7.69,0,0,0,0,15.38,0,0,0,0,0,0,0,0,15.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.69,7.69,0,0,0,0,0,0,15.38,0,0,0,0,0,0,0,0,0,7.69,7.69,7.69,7.69,0,0,0
i probably would mind school as much if we did have to deal with bitch ass teachers retweet,1,1,5.56,5.56,0,0,22.22,0,22.22,0,0,5.56,11.11,0,5.56,0,16.67,5.56,0,0,0,0,0,0,0,11.11,16.67,5.56,0,0,0,0,5.56,11.11,0,0,0,0,0,0,0,0,16.67,0,0,16.67,0,0,5.56,0,0,0,0,0,0,0,0,11.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.56,0,11.11,5.56,5.56,0,0,0
im a fucking fag they said,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.33,0,0,0,0,0,0,0,0,33.33,33.33,16.67,0,0,0,0,16.67,16.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.67,16.67,0,0,0,0,0,0
females think dating a pussy is cute now how does doing this stuff make him a pussy,1,1,5.88,5.88,0,0,17.65,0,17.65,11.76,11.76,0,0,0,0,0,17.65,5.88,0,0,0,0,0,0,0,11.76,17.65,5.88,0,0,0,0,0,11.76,0,0,5.88,5.88,0,0,0,0,0,0,0,0,0,0,11.76,0,0,0,0,0,11.76,0,0,0,0,0,0,0,0,0,0,0,11.76,0,0,0,0,0,0,0,5.88,0,17.65,0,0,0,0,0,0
simplyaddictedtoguys woof woof hot scally lad,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.67,0,0,0,0,0,0,16.67,0,0,0,16.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,33.33,16.67,0,0,0,0,0,0,0,0,0
have ya ever asked your bitch for other bitches kanye voice yes,1,1,0,0,0,0,25,16.67,8.33,0,0,0,0,0,8.33,0,16.67,0,0,0,0,0,0,0,0,16.67,25,8.33,0,0,0,0,8.33,16.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.67,0,0,0,0,0,0,0,8.33,8.33,0,0,16.67,8.33,8.33,0,0
how u gone bring ur side bitch to a game where you know ya gf friends at i swear,1,1,10.53,10.53,0,0,10.53,0,10.53,10.53,5.26,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,5.26,42.11,10.53,0,0,0,0,0,31.58,0,10.53,5.26,0,0,0,0,0,5.26,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.53,21.05,0,10.53,10.53,0,0,0,0,5.26,0,0,21.05,21.05,0,0,0
woof woof and hot soles,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,40,20,0,0,0,0,0,0,0,0,0
lemmie eat a oreo amp do these dishes one oreo lol,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.36,0,0,0,0,0,0,36.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.09,9.09,0,0,0
bitch fuck u maybe youll get better just,1,1,12.5,0,12.5,0,12.5,0,12.5,0,0,0,12.5,0,0,0,37.5,12.5,0,0,0,0,0,0,0,25,25,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.5,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,12.5,12.5,12.5,0,0,0
